"행정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0세","2026년06월_계_1세","2026년06월_계_2세","2026년06월_계_3세","2026년06월_계_4세","2026년06월_계_5세","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0세","2026년06월_남_1세","2026년06월_남_2세","2026년06월_남_3세","2026년06월_남_4세","2026년06월_남_5세","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0세","2026년06월_여_1세","2026년06월_여_2세","2026년06월_여_3세","2026년06월_여_4세","2026년06월_여_5세"
"인천광역시 부평구 갈산1동(2823764100)","13,902","232","44","32","35","36","33","52","7,019","112","18","17","16","19","17","25","6,883","120","26","15","19","17","16","27"
"인천광역시 부평구 갈산2동(2823764200)","16,989","309","61","47","47","54","54","46","8,177","171","33","29","24","30","27","28","8,812","138","28","18","23","24","27","18"
"인천광역시 부평구 삼산1동(2823764600)","30,964","767","133","144","108","120","123","139","15,081","428","78","77","62","66","70","75","15,883","339","55","67","46","54","53","64"
"인천광역시 부평구 삼산2동(2823764800)","26,748","560","99","77","88","97","98","101","12,884","309","61","45","51","51","46","55","13,864","251","38","32","37","46","52","46"
"인천광역시 부평구 부개1동(2823765000)","14,679","236","54","39","41","42","32","28","7,300","121","30","15","18","28","13","17","7,379","115","24","24","23","14","19","11"
"인천광역시 부평구 부개2동(2823766000)","18,726","558","108","92","86","83","102","87","9,047","286","51","47","44","44","53","47","9,679","272","57","45","42","39","49","40"
"인천광역시 부평구 부개3동(2823766100)","27,092","493","118","83","65","61","73","93","12,834","240","59","39","29","29","33","51","14,258","253","59","44","36","32","40","42"
"인천광역시 부평구 일신동(2823767000)","11,079","288","33","54","58","44","46","53","5,569","139","14","32","27","24","19","23","5,510","149","19","22","31","20","27","30"
"인천광역시 부평구 십정1동(2823768000)","23,630","1,393","369","316","231","194","159","124","11,752","737","199","171","120","107","72","68","11,878","656","170","145","111","87","87","56"
"인천광역시 부평구 십정2동(2823769000)","20,372","274","27","43","42","46","55","61","10,626","138","19","17","14","19","37","32","9,746","136","8","26","28","27","18","29"
"인천광역시 계양구 (2824500000)","276,309","6,248","1,154","1,024","895","1,015","1,041","1,119","137,337","3,134","560","532","452","529","506","555","138,972","3,114","594","492","443","486","535","564"
"인천광역시 계양구 효성1동(2824560100)","25,432","739","140","116","114","127","123","119","12,708","369","74","62","52","64","56","61","12,724","370","66","54","62","63","67","58"
"인천광역시 계양구 효성2동(2824560200)","29,093","677","152","103","112","99","114","97","14,568","351","76","49","53","57","66","50","14,525","326","76","54","59","42","48","47"
"인천광역시 계양구 계산1동(2824561100)","17,220","204","39","32","28","31","34","40","9,109","96","18","16","12","15","14","21","8,111","108","21","16","16","16","20","19"
